title,date,link,content
罷昶民眾嗆聲林昶佐　違停路口還推擠議員,2021-12-28 23:30:02,https://www.ftvnews.com.tw/news/detail/2021C28P16M1,距離1月9日林昶佐罷免投票，不到兩週，外頭黑函卻嚴重影響林昶佐聲譽，林昶佐不只一一駁斥罷免方的6大理由，其中，黑函還說他不住選區，也讓他哭笑不得，說自己甚至是在中正區家中收到的。而今天，同樣挺過罷免的高雄市議員黃捷，也北上相挺站路口，沒想到卻遇到霸昶人士違停嗆聲，甚至對議員動手。罷昶人士說，「反對林昶佐，反對林昶佐。」一下車，就對著立委林昶佐嗆聲，罷昶民眾不只在七點上班通勤時間，違停十字路口阻礙交通，甚至動手推擠議員。台北市議員（民）劉耀仁說，「一直要製造一個，是林昶佐團體違規停車，反對林昶佐沒有關係，那是你的自由，但是出手動人家，這樣就非常不好。」高雄市議員（無）黃捷說，「希望爭取更多人支持，我覺得要拿出說服人的理由，而不是嘴巴講不贏就動手動粗。」挺過罷免的高雄市議員黃捷，恰巧目睹整個過程，這天北上助陣，整個上午，除了陪Freddy站路口，還到市場掃街，催不同意票。天很冷，但攤商熱情相挺，還有民眾拋下桌上食物，特地來握手，連騎車民眾都停下來揮手加油，市場自治會正、副會長與里長，還送上菜頭、旺萊，給林昶佐集氣！心疼林昶佐，喊反惡罷，而且以往選戰常出現的黑函，也「不小心」寄到了林昶佐家。立委（無）林昶佐說，「我在我自己的信箱收到了，例如說我不住選區，我就在我自己信箱收到啊，我住在中正區啊，他說焦慮症不能當立委，這個完全是歧視，這個都有五六年來評鑑的團體，客觀評鑑的數據。」亮出各式黑函，林昶佐一一反駁，像是逼吃萊豬是假議題，美豬進口經公投後，已獲全民共識，而環南新聞事件，當時就早已表達歉意。至於「3+11」審查，林昶佐在6月就已支持朝野決議，要求釐清過程。北市議員（無）鍾小平說，「這是個人行為 不要栽贓到我頭上，另外在崁頂地區有人發傳單，發傳單跟我也沒有關係，而且發了傳單，指責的內容也是很正確的啊。」立委（無）林昶佐說，「上面寫說這個罷昶總部，那是不是說，發起人是鍾小平，你們的領銜人是鄭大平，是不是要你們來為這個負責，一年多來惡質的報復性罷免，沒有比這一場還要惡質。」他強烈質疑，背後跟鍾小平有關。投票日逼近，罷昶的攻勢不斷，林昶佐一一回擊。
快新聞／林昶佐強烈譴責極端、抹黑手段！ 喊話「惡質罷免應掃入歷史灰燼」,2021-12-28 14:00:56,https://www.ftvnews.com.tw/news/detail/2021C28W0168,台北市第5選區無黨籍立委林昶佐罷免案明年1月9日投票，林昶佐今天表示，陸續有民眾反映，家裡的信箱被塞入不同的選舉黑函，他強調這些黑函的指控完全是無中生有、含血噴人，拜託在地鄉親1月9日一定要站出來投下不同意票，把惡質罷免掃進歷史灰燼，別再讓這樣的鬧劇繼續擾亂台灣。林昶佐今日下午在臉書發文表示，這兩天陸續有民眾反映，家裡的信箱被塞入不同的選舉黑函。首先，是一封署名「罷免立委林昶佐崁頂後援會」的單張信函，上面寫有「繼續加油，第五張同意票，拒絕日本核食。淘汰不能為民眾健康把關的民代」。他說，所謂的「後援會」從來沒有公開露面過，在地民眾對這個組織也感到非常陌生，這些黑函的指控完全是無中生有、含血噴人。林昶佐強調，自己從未主張進口「核食」，相信沒有任何負責任的政治人物會主張進口遭到核輻射污染的食品。再者，政府機關如外交部、農委會、經濟部都多次強調，台灣的邊境管制嚴格，自2011年3月15日起檢測所有日本進口食品17萬件，都是100%符合台灣嚴格的輻射標準，微量檢出231件也均退運、銷毀，根本沒有進口核食的問題。林昶佐說，緊接著還有一張署名「罷昶總部」的黑函，列舉「罷昶六大原因」，包括「逼吃萊豬」、「閃兵當國防立委/焦慮症不適合當立委」、「不住選區」、「環南新聞事件/批鬥政敵」、「站在對立面」，以及「不是惡罷」。這封黑函署名「罷昶總部」，不禁讓林昶佐質疑，這是否由罷免案領銜人鄭大平以及發起人鍾小平議員為此負責？林昶佐表示，這「六大理由」更是令人啼笑皆非。第一，美豬進口議題經過公投後，已獲全民共識，根本沒有逼吃萊豬的問題。第二，「焦慮症不適合當立委」的言論，完全是歧視身心症、現代文明病的患者，他擔任立委的成績已有許多專業的國會評鑑可供大家了解。第三，「不住選區」更是莫名其妙，他和太太、女兒都住在中正區，這張黑函正是從家中的信箱裡拿出來的。關於環南新聞事件，林昶佐說他當時早已表達歉意。至於第五點「站在對立面」，意指林昶佐反對「3+11」審查、反對國際疫苗採購，他指出這也已多次說明，完全支持2021年6月18日的朝野決議，要求行政院釐清「3+11」決策過程，並提出報告及備詢。林昶佐上午在和平西路和南海路交叉口宣傳反罷免的時候，竟有罷免團體的人直接違規停車在十字路口轉角，下車表達反對意見，險些造成上班通勤的朋友發生車禍，甚至還對劉耀仁議員動手動腳，發生衝突。「我們台灣、萬華中正在地人昭然的民主精神，不能因為一場毫無正當的罷免而蒙塵」，林昶佐強調，罷免方今天選擇用激烈的推擠動作侵害他人、用惡意的黑函抹黑對手，皆因有人為了私利、送國民黨禮物，不惜激化人民的對立，這正是他最憂心、最不願看到的。他在文末強調，這次罷免案爆發一連串的荒唐手段，全民都難以苟同，現在又出現這種惡質抹黑、極端衝突的手段，徹底坐實了這場罷免案就是由極端人士所發動的惡質罷免。他要拜託大家，1月9日，一定要站出來投下不同意票，把惡質罷免掃進歷史灰燼，不要再讓這樣的鬧劇繼續擾亂台灣。
快新聞／趙少康嗆蔡英文「若縮短寒暑假要小心」　網：藍營兵敗如山倒、顧好自己較實在,2021-12-25 15:07:23,https://www.ftvnews.com.tw/news/detail/2021C25W0096,總統蔡英文昨出席台大「重點科技研究學院」揭牌典禮時表示，為了要加快人才培育的腳步，教育界可考慮讓學生們不要有這麼長的寒、暑假，讓台灣快速產生人才。此言論被中廣董事長趙少康大肆批評，更說「從來沒有一個總統敢動學生的寒暑假」，不料被網友反嗆「真正要小心的是戰鬥藍！」台大重點科技研究學院昨成立，總統蔡英文親自出席，致詞時蔡英文提到，「半導體業在2019年，就很鄭重地提出來說，我們確實有很多的瓶頸，尤其是人才的培育上面，我聽見了也聽懂了也心領神會了，但是我知道我那時候，有一個很重要的事情先要完成，就是我必須讓我自己連任，有件事情你們做得蠻成功的，就是去教育了現任的總統。」蔡英文表示，「總統交付的任務是，你們一定要做成功，可不可以不要有那麼長的暑假，或者是寒假，我們一年就無休地，把人才做最好的培育，我們可以把寒假跟暑假，暫時忘掉這件事情，快速地培養我們的人才。」此言論卻被趙少康大肆批評，他今透過臉書發文叫「縮短學生的寒、暑假，蔡英文要很小心」，趙少康說，要學生把寒、暑假忘掉，豈有那麼容易？蔡英文都忘了她學生時代的寒暑假是怎麼度過的嗎？有的學生利用寒暑假學習不同的語言、技能或閱讀課外讀物，有的打工儲備開學後的生活費用，有的加強運動鍛鍊身體。趙少康更說，「並不是像蔡英文以為的學生把時間都浪費掉了」，而且一年到頭全年無休的在學校唸書，從小一到大四，一共16年，比古代「十年寒窗無人問」還長，蔡英文豈不是要把每一個青少年的求學生涯搞得太過枯燥無聊？這樣一定會大大的降低學習的樂趣及效率，製造出許多心理有問題的學生，未來會給社會帶來巨大困擾。趙少康直指，學校不是工廠，學生不是工業產品，全年無休加速趕工就可以揠苗助長式的把人才製造出來，如果蔡英文覺得台灣的人才培育趕不上需要，必需檢討：1，現在的大學、中學的課程是不是太過龐雜？是不是灌輸給學生太多根本不需要學習的課程？是否應該減少畢業所需的必修課程及學分？2，我們的教育有沒有做到適才適性，因才施教，針對不同資質、程度的學生給予適當的課程，避免齊頭的平等？最怕程度好的學生學不到，程度差的學生跟不上，在學校浪費時間，大家都痛苦。3，現在教育部規定每年暑假2個月，寒假3星期，可以在寒暑假加開科目足夠且密集的課程給學生修讀，讓想要趕快畢業的學生可以選讀以加速完成學業。趙少康直指蔡英文應該要知道，教育過程不只是知識科技的教授，人格的健全及個性的穩健成熟同樣重要，千萬不要教育出一群知識早慧、技術不錯，但個性晚熟的怪異世代。他更直言「從來沒有任何一個總統敢動學生的寒暑假」，蔡英文想縮短寒暑假要十分小心。貼文一出遭網友打臉反嗆「要小心的是戰鬥藍」、「整天製造仇恨，還要叫人小心？」、「國民黨已經兵敗如山倒！管好自己的人比較實在」、「那像你，台大畢又有何用，邏輯這麼差，批公投萊豬說都是高雄人害台灣人吃的」。（民視新聞網／綜合報導）
林昶佐談「罷昶」憂民主恐不紮實　嘆遭抹黑「找嘸人」：「這時段」我也在！,2021-12-25 15:03:25,https://www.ftvnews.com.tw/news/detail/2021C25W0081,政治中心／周孟漢報導距離1月9號立委林昶佐罷免投票，剩下不到20天，林昶佐每日都勤跑基層，持續站街頭、掃街拜票。近日他接受民視新聞傳播群副總經理胡婉玲獨家專訪，在《新聞觀測站》節目中，針對罷免方所提出的罷免理由做出回應，認為罷免方的種種行為都讓民主變得越來越不紮實。另外，不少人認為他鮮少出現在選區內關心民眾，他也在節目中透露了自己每天的行程，強調「這個時段」他都會在。不少選民認為林昶佐鮮少出現在選區內關心民眾，直到要被罷免了才會出現，林昶佐坦言「我其實也可以從早餐、中餐、下午茶、晚餐到消夜，都在地方交朋友」，但他表示，自己白天的時間其實是要上班的，就算1月9日自己沒被罷免，未來還是會以在立法院上班為主，像是開會、審預算、質詢等等，會將這些當作優先，認為這是做為1個立法委員最基本的事，並透露「晚上」如果有活動，自己都會到場，十分歡迎各位鄉親到場與他交交朋友。林昶佐認為「這些罷免團體，可能覺得要去丟豬腦、丟豬內臟或是撥麵粉，或是罵官員說『我要把你槍斃』這才叫做監督，可是我們如果把事實拿出來看，林昶佐監督的比你支持的那些政黨還要用力、還要嚴格」，所以不能以丟多少豬腦來衡量誰比較嚴格，至少要拿出數字跟證據。不過，就算林昶佐證明了自己比較嚴格，掃街拜票時還是有發現某些比較極端的選民，聽不下去自己所提出的事實，林昶佐坦言這些罷免團體不希望就事論事，「沒辦法理性討論1個公共議題的狀況，也是罷免團體希望挑起的仇恨」，種種行為都讓民主變得越來越不紮實。話鋒一轉，林昶佐也針對罷免團體提出的罷免理由做出回應，認為罷免方稱他「掩蓋疫情破口真相」一事，根本不可能，坦言罷免方指的就是「3＋11」，當時朝野4個政黨都有1個共識，就是先由「行政院調查，之後送交立法院，立法院質詢蘇貞昌院長，看裡面有沒有隱匿的狀況」，大家都有這個共識，自己也贊成，不同意的則是「其他政黨又另外提1個方案」，透露本來方案是「3個月1次調查報告」，但其他政黨卻突然提「3個禮拜1次調查報告」。林昶佐認為，當時疫情很嚴峻，指揮中心不可能不防疫都在調查，加上自己選區疫情是最嚴峻的，當然不會接受，認為「大家講好3個月，就是3個月，不要等到表決的時候，突然提1個3個禮拜，就表示你比較嚴謹的話，那我也可以提1個3天的啊」，表示其他政黨的方案對指揮中心太不公平。除了疫情外，林昶佐也相當關心萊豬議題，但卻遭罷免團體指控他反對修正《學校衛生法》，讓萊豬進入校園。對此，林昶佐表示，從公投的結果來看，「全國人民都已經認為這沒有食安的問題」，強調其實2020年，教育部就已經命令所有的國中小校園都是用國產豬，無奈說道「這太清楚了，所以到底誰吃到？」認為對方拿這個當罷免理由，至少也讓他知道有誰吃到，強調罷免書應該是要事實，不實的謠言印出來給選民，等同是在抹黑他。罷免方還稱林昶佐「擔任二二八基金會董事期間，出席率偏低」對此，林昶佐表示，此事已是2007年的事，與他擔任立委期間完全沒有關係，透露當時受二二八基金會邀請擔任董事時，自己大多數都在國外工作、表演等等，因此也有跟基金會告知，但對方表示，只要能提供一些親近年輕人的意見就好，所以自己才會答應，更何況那不是當立委的期間，造成許多民眾誤會，以為是他當立委不去開會，自己也相當無奈。
快新聞／被趙少康點名！呂捷譏「祖墳冒青煙」反嗆：別在高雄人身上貼萊豬標籤,2021-12-25 10:40:26,https://www.ftvnews.com.tw/news/detail/2021C25W0043,四大公投剛落幕，「四個不同意」可說是大獲全勝，對此，中廣董事長趙少康日前砲轟國民黨「部分」縣市首長在公投案上自私自利，更說「從某個角度來看，高雄人就逼得全台灣人都得吃萊豬。」高雄補教網紅名師呂捷則嗆「趙少康講的話是在對立、撕裂，希望他把話收回去」，趙少康不干示弱，稱自己是用數據分析得票結構「呈現事實」，呂捷昨透過臉書發出千字長文回應。呂捷說，公民投票是公民意志的展現，票多的贏、票少的輸，所以「不會是只有高雄人來做決定」。全國有四百多萬票同意讓美國含有萊劑的豬隻進口，趙少康單指「高雄」這就是在貼標籤。他指出，有關萊豬的事情，每個人心中都有一桿秤，理解且尊重，但趙少康說「高雄『逼』全台吃萊豬」，「逼」這個字有「威脅、強迫」的意思。呂捷指出，趙少康文章中所謂的「高雄『逼』全台吃萊豬，是正面表述」，趙少康還在文章中指出「高雄勝出的票數足以讓結果翻盤，是呈現事實，不是指責。」縱使高雄少了這二十萬票，那也就是趙少康主張的禁止「萊豬進口」的票數多過不同意票，依舊沒有達到成案的門檻，怎麼翻盤？呂捷提到，趙少康拚的不是是非，而是面子，拚的是戰鬥藍領袖的影響力！不是嗎？如果高雄只贏18萬票？趙少康要換貼哪一個縣市標籤？」他指出，趙少康讓情緒影響了的判斷力，糾結在已經成為事實的公投案上。呂捷提到，所以趙少康氣急攻心地指責高雄人，並寫文章來回應一個口中「幽默風趣的歷史教學很受歡迎」的歷史老師，他更說「我這個小小的歷史老師居然可以入您的法眼、可以隔空與您對話，真心覺得倍感榮幸、祖墳冒青煙。」至於趙少康文中對新北市侯友宜的批評也讓呂捷無法苟同，他說，趙少康用「不提名」威脅侯市長表態四個都要同意，不然再強都不提名，此舉顯得趙少康沒有膽識，而事實證明趙少康的恐嚇並沒有奏效，在侯友宜千字文回應之後，趙少康退縮了，立刻改口「鼓勵侯市長對核四以外的公投案表態，呼籲新北市民踴躍投票」。呂捷表示，勝敗乃兵家常事，這一次輸了，下次再贏回來就好，有賭未必輸；但在輸了之後，趙少康卻找下家買單，還公開要求侯友宜說謊 「就算是你寫的，也是要說不是你！」他驚呼，現在都這麼明目張膽嗎？
快新聞／朱立倫傳考慮親征高雄市長　陳子瑜分析：將帶國民黨墜入政治深淵,2021-12-24 10:58:26,https://www.ftvnews.com.tw/news/detail/2021C24W0100,明年縣市長選舉，國民黨內部傳出，黨主席朱立倫不排除親征參選高雄市長。對此，台灣基進新聞部副主任陳子瑜提出6點分析，認為朱立倫若來選高雄，不但會讓國民黨在2022年地方選舉繼續大敗，朱立倫自己的政治生命也會墜入深淵。「周刊王CTWANT」報導，國民黨內部擔心明年縣市長選舉「母雞難產」，可能衝擊縣市長選情，黨內傳出朱立倫不排除親征高雄市長選舉，用實際行動突圍公投之困。對此，陳子瑜今天在臉書發文表示，「朱立倫若來選高雄，一定會帶著國民黨墜入政治深淵」，並提出六點分析。首先，經過韓國瑜事件，高雄市民非常痛恨沒有「在地忠誠」的政治人物；朱立倫當新北市長時反對核四，當國民黨主席時力推重啟核四，毫無對於地方的政治忠誠。第二，陳子瑜指出，四大公投案後，戰鬥藍趙少康一席「高雄人逼全台吃萊豬」的言論，除了激怒高雄人之外，朱立倫作為黨主席，沒有任何制止或譴責趙少康的意思，形同不沾鍋的默認，也被視為趙少康同路人。第三，陳子瑜說，中二補選還在進行，此刻傳出朱立倫有意佈局高雄，顯然會引來「不務正業」的質疑，一旦補選國民黨失利，朱立倫就會罪加一等，還沒正式宣布參選高雄，就先蒙上一朵烏雲。陳子瑜表示，第四，朱立倫原先的「理性」人設和高雄市長陳其邁高度重疊，但陳其邁一年多任期已成功推動台積電、英特格、默克、三井集團等國際大廠投資，有實質的政績；反觀朱立倫，就任公職時留給選民的印象是「棒球場蓋錯邊」、「剪綵王」，相比之下顯然遜色不少。第五，陳子瑜提及，朱立倫現在的「民粹」人設，走深藍意識形態，對於目前只想要全力推動市政、衝刺經濟的高雄市民來說，要看政治鬧劇，鎖定前市長韓國瑜就可以了，不需要朱立倫自己在高雄演一齣，浪費大家時間。最後，陳子瑜表示，高雄人欣賞的是「一生懸命」、「大格局敢說話」的政治人物，號稱「政壇精算師」、「換柱推手」的朱立倫，根本不是高雄人的菜。（民視新聞網／綜合報導）
藍轟警包庇揚言抗告　蘇貞昌：別浪費司法資源,2021-12-23 17:40:02,https://www.ftvnews.com.tw/news/detail/2021C23P09M1,行政院長蘇貞昌因為說過「國民黨中常委也支持萊豬」，而被國民黨立委林為洲控告說謊，結果中正一分局沒有找蘇貞昌作筆錄就函送法院，被裁定不受理。藍營痛批警方包庇蘇貞昌，蘇貞昌則反嗆藍營浪費司法資源。內政部長徐國勇幫警方講話，因為依照刑事訴訟法，警直接移送，沒有問題。行政院長 蘇貞昌(2020.12.01)曾說，「上星期我去屏東，那個信功豬肉到日本，他還是國民黨中常委，他很支持。」去年立法院針對萊豬進口，行政院長蘇貞昌在備詢時說國民黨中常委也很支持，卻被信功肉品反駁，當時立委林為洲到中正一分局告他違反社維法，但警方沒約詢蘇貞昌，就把案子移送法院，日前被裁定不受理。立委（國）林為洲轟，「故意不約詢被告發人，難道他不知道要約詢嗎？他們每天辦多少案，當然知道假訊息案又不是只有這件，明知道會被法院打臉、被退件，反而這次應該告發警察，說你們刻意技術干擾，明知道要約詢而不約詢，直接送法院讓法院退件，你瀆職。」行政院長蘇貞昌表示，「相關事實在立法院公報，一個字一個字都刊登清楚，我們也看到相關機關依法處理，希望不要再造謠抹黑，並不要浪費司法資源。」原來林為洲告發後，中正一分局沒找蘇貞昌做筆錄就函送法院，台北地院指出只拿舉報人的指述以及未經確認的證據就判決，沒有保障蘇貞昌的訴訟權，依法不受理，若警方不服，可以抗告。藍委痛批警方完全是看風向，決定辦案的方式。立委（國）洪孟楷說，「現在是民進黨政府執政下，連警察也要看上意、揣摩上意，看風向辦案，跟綠營高官有關的不辦就是不辦，對警察同仁形象、可信度、尊嚴，也是重大打擊。」內政部長徐國勇說「因為在刑事訴訟法裡面，警察機關可以直接移送，認知上警政署跟我說，產生認知上、法律解釋上的差距，這尊重法院，因為法院獨立行使職權，這部分讓他們處理單位，自己做專業判斷。」反萊豬公投以失敗告終，提告蘇貞昌也吃鱉，藍營揚言抗告，不讓事件就這麼平息。
快新聞／趙少康點燃高雄人怒火！　補教名師痛斥：國民黨這是帝制思維,2021-12-23 16:05:25,https://www.ftvnews.com.tw/news/detail/2021C23W0217,國民黨在四大公投戰敗後，中廣董事長趙少康稱「高雄人就逼得全台灣人都得吃萊豬」，此番言論引發外界砲轟。補教名師呂捷身為高雄人，怒嗆這句話「不但對立，更是撕裂」，也向趙少康喊話把這句話收回去，並痛斥這已經不是黨國思想，而是帝制思維。日前中廣董事長趙少康網路節目「鄉民來衝康」上坦言，對公投結果感到「意外」。他直指「反萊豬」案在全國中，「吃萊豬」跟「不吃萊豬」差20萬票，光高雄一個地方就差20萬票，高雄多厲害？從某個角度，「高雄人就逼得全台灣人都得吃萊豬」。對此，呂捷表示，既然趙少康已經開口點名，身為高雄人，他也向趙少康喊話，「我可以理解你痛恨民進黨。恨到只要是民進黨的主張就杯葛、就反對、就抵制；恨到只要跟民進黨的立場有一點相同的、只要沒有跟你一起恨的就其罪當誅，您這已經不是黨國思想，是帝制思維」。呂捷直言，很多高雄人在公投中投下同意萊豬進口，全台灣也有很多人投下同意禁萊豬進口，難道這些公民都在「逼」全台灣人吃萊豬嗎？他更點名趙少康把「高雄人就逼得全台灣人都得吃萊豬啦！」這句話收回去，並痛斥「這句話不但是對立、更是撕裂！」呂捷指出，公投前，趙少康逼侯友宜表態四個都同意，但是可能忘了侯友宜是刑警出身，曾走過槍林彈雨，趙少康用不提名來威脅侯友宜，會不會太小兒科？如今公投結束，趙少康所主張的四個同意票數全部輸給不同意票，因此，呂捷質疑，趙少康是否因為不敢找侯友宜麻煩，所以把矛頭指向高雄？因為趙少康拚的是黨國大老、政治金童的面子，拚的是戰鬥藍領袖的影響力，面子掛不住。
快新聞／將喊「反對福島食品就是反日本？」　蘇貞昌強調食安：不要造謠,2021-12-23 14:55:21,https://www.ftvnews.com.tw/news/detail/2021C23W0172,台灣致力加入跨太平洋夥伴全面進步協定（CPTPP），繼開放萊豬後，是否也允許日本福島食品進口引發關注。行政院長蘇貞昌被問及，先前反萊豬被指反美豬，現在會不會也講反福島食品等於反日本？他強調，食安第一，政府會嚴格把關，一定都依照國際標準和科學證據，「我們希望不要造謠」。農委會主委陳吉仲上午指出，全世界在2011年3月11日福島事件後都陸續開放，現在只剩中國跟台灣針對日本區域9大類食品管制。經濟部長王美花表示，日本是CTTPP的重要會員國，台灣想要加入，屆時諮商時一定會拿出來討論。外交部長吳釗燮則說，進到台灣的食品一定是檢驗合格沒有核輻射汙染，台日雙方有就此接觸但尚未正式談，所以沒時間表。蘇貞昌下午受訪被問及，先前反萊豬被指反美豬，現在會不會也講反福島食品等於反日本？他強調，食安第一，政府會嚴格把關，一定都依照國際標準和科學證據，「我們希望不要造謠」。對於立法院國民黨團不滿民進黨團將總預算審查逕付二讀，蘇貞昌強調，總預算案要趕快通過，已經耽誤到法訂期限，且新的一年要用新的預算，非常期待國民黨不要不理性杯葛，能順利通過，明年元旦就要為軍公教加薪，也要為育兒津貼、勞工增加勞保，這些資金都要通過才能執行，真的很期待立委盡責守規矩。而蔡政府推動新竹縣市合併升格，遭在野黨批是為新竹市長林智堅因人設事，蘇貞昌表示，台灣在數位半導體有領先關鍵地位，要持續擴大擴張，因此以竹科為基地的半導體產業等都有必要再增加能量，而且也符合大多新竹縣市的期待，總統蔡英文並表示，迫切問題迫不及待，盼國人能一致支持，讓新竹縣市合併早日實現，以增加台灣的競爭力、在全球地位的領先再擴大。至於蘇貞昌去年在立院答詢稱屏東信功肉品支持政府萊豬政策，遭國民黨立委林為洲提告涉違反社維法。台北地院以警方未傳訊蘇貞昌，逾期移送，裁定不受理。蘇貞昌回應，相關事實在立法院公報一字一字刊登清楚，不要再做這種造謠抹黑，浪費司法。
謝長廷請假未到立院備詢　吳釗燮：有公務行程,2021-12-23 12:50:03,https://www.ftvnews.com.tw/news/detail/2021C23P03M1,立院外委會以公投後台美日關係為主題，邀請外交部長吳釗燮與駐日代表謝長廷報告，吳釗燮強調謝長廷因有公務，照程序請假，引來在野黨立委不滿，砲轟根本沒准假，為何可以不來？部長都能臨時取消行程，代表卻不行，到底誰比較大？綠營立委緩頰，強調他們很努力，來不來可以討論。立法院外交國防委員會，以公投結果對台美日關係發展為題，邀請外交部長吳釗燮和駐日代表謝長廷報告，吳釗燮準時現身，謝長廷卻沒出現。立委（國）陳以信說，「駐日大使謝長廷在哪裡？請假？我們沒有准假為什麼沒有來，部長臨時通知都可以來了，為什麼大使臨時通知不能來，他比你還大。」擔任召委的陳以信率先發難，江啟臣話更說的直接。立委（國）江啟臣說，「謝長廷有沒有膽這不是重點，重點是他傲慢就這樣，你也不用幫他解釋太多，因為他幹過行政院長的人，他在執政黨內的地位大老這些等等的，他不來立法院，民進黨的委員可能可以接受啦，因為他是大老，但是在野黨的委員我們只能說，這是一個非常傲慢的大使跟代表。」立委（民）趙天麟說，「謝大使來或不來或許還有討論的空間，台日關係也好台美關係也好，其實都是彌足珍貴，在您以及所有第一線外交人員的努力下，在蔡總統的領導下，其實真的是建立了，台灣在這麼艱困的國際環境裡面，非常了不起的成績。」藍營立委輪番砲轟，執政黨委員幫忙緩頰，吳釗燮也說一切都照規定來。外交部長吳釗燮說，「謝院長依照規定請假回台，這次因為立法院臨時通知，他有一些行程沒有辦法更動，所以他也向委員會請假。」除了謝長廷來不來，朝野立委也關切公投結束後，台灣進口日本福島五縣市食品，以及加入CPTPP的時間點。立委（國）溫玉霞說，「CPTPP什麼時候能夠達到我們的目標，加入它？」外交部長吳釗燮說，「公投結果台灣願意遵守國際標準，所以接下來在跟每一個會員國協商CPTPP的時候，這個會順利很多，那我們沒有辦法去抓一個時間點。」立委（民）趙天麟說，「很多人直接把日本福島五縣的食品，直接把它說這叫做核食，你認同這樣的一個形容詞嗎？」外交部長吳釗燮說，「如果沒有任何污染的這些食品的話，我們依照國際貿易的規則，是應該開放讓他們進口，但是也必須要說明說，這一方面我們跟日本之間，還沒有開始正式的協商。」吳釗燮強調不論萊豬還是日本食品，進口都照國際標準，絕對會把關國人健康。
