title,date,link,content
謝長廷又請假不赴立院　藍委：偷回日本開放核災區食品？,2021-12-30 10:36:00,https://news.tvbs.com.tw/politics/1677426,1218四大公投案18日落幕，公投結果四案均不通過，外界關注開放萊豬後，下一步是否將面對日本福島核災區食品進口？立法院外交及國防委員會今（30）日再度邀請駐日代表謝長廷報告「我國對日關係與福島五縣市食品進口爭議」，但謝長廷又再度請假未出席。對此，召委、國民黨立委陳以信不滿表示，謝長廷屢次找藉口迴避國會的監督，未來是不是會偷偷摸摸回到日本，突襲宣布開放福島五縣市食品的進口？謝長廷在四大公投前已經返台，外交及國防委員會12月23日邀請謝長廷和外交部長吳釗燮就「1218公投結果對我國與美國、日本關係之發展與展望」進行專案報告，但謝長廷請假未出席，當時吳釗燮解釋，因為立法院是臨時通知，謝長廷有些公務行程調整不過來，無法更動，所以不克出席。然而，陳以信今日再邀謝長廷報告「我國對日關係與福島五縣市食品進口爭議」，但謝長廷又再度請假。更多新聞：謝長廷請假拒赴立院！外長1句解釋藍委怒批：太上皇？陳以信受訪表示，邀請駐日代表來報告是立委的職權，謝長廷身為駐日代表，人在台灣來面對國會、國人，這是屬於他的職責，但他不了解，為何外交及國防委員會一再邀請，謝長廷卻始終藉口、託辭，用各種理由不肯來、不願來、不能來，迴避國會、迴避面對國人，到底背後是有什麼原因。陳以信說，現在政府正在規劃福島5縣市食品進口，「是不是他（謝長廷）偷偷摸摸回到日本之後，很快的就要來宣布對日本福島5縣市食品進口突然開放？」陳以信指出，蔡政府去年8月28日也是用突襲的方式，宣布開放美國萊豬進口，未來是否將循同樣方式，再來突襲開放日本「福食」進口？這樣的議題國人都非常的關心，朝野各黨也都非常的關心，外委會基於職權邀請謝長廷來，但是他卻基於職責屢次不肯前來，如果今天下午他仍然不出來，外委會就必需對他讉責。更多新聞：萊豬下一步開放日本核食？吳釗燮：有交涉但沒時間表此外，根據外交部在「我國對日關係與福島五縣市食品進口爭議」的書面報告，內容提到，關於日本食品議題，政府的一貫立場是「食安優先」，為國人健康把關是第一要務。有關日本福島等五縣食品進口管制問題，外交部尊重並配合食安主管機關的專業判斷，依據國際規範與科學數據，並参考其他國家的作法審慎妥處，未來外交部將持續積極協助建構台日雙邊對話平台。
吳釗燮稱核食為「福島食品」　王鴻薇酸：騙上癮,2021-12-26 10:14:00,https://news.tvbs.com.tw/politics/1669886,國民黨台北市議員王鴻薇昨在臉書表示，反萊豬公投未能過關，果不其然，日本核食加緊進逼台灣，包括日本媒體和日前舉辦的2+2會議，日方再度重申要求台灣開放日本核食，於是蔡政府開始「偷換概念」，要拿掉核食的標籤，改為日本福島地區食品，簡稱為「福食」。更多新聞：是否開放福島食品？民進黨：應該用科學依據對於我國是否進口日本核災區食品，外交部長吳釗燮日前赴立法院備詢前受訪表示，「核食」的概念很不好，因為任何有遭受核輻射汙染的食品通通不能進口，但他也坦言，針對日本食品進口議題，我方跟日方一直都在接觸，但沒有時間表。更多新聞：CPTPP談判王美花：勢必討論福島5縣食品進口對此，王鴻薇批評，蔡政府真的是騙上癮了，反萊豬公投時，故意把「萊」地拿掉偷換成「美豬」，把反萊變成反美，讓台灣民眾降低投票意願，現在食髓知味，如法炮製，把核食的「核」拿掉，愚弄人民莫此為甚。更多新聞：萊豬下一步開放日本核食？吳釗燮：有交涉但沒時間表王鴻薇表示，吃核食會變成吃「福食」，擦脂抹粉，已成為蔡政府護航核食的第一步，核食之所以會有爭議，就是核災地區擔心受汙染的食品，一轉眼變成福食，她質問外交部長吳釗燮，「這是日本大哥哥教你的嗎？這樣欺騙自己的台灣同胞，有良心嗎？」
萊豬攻防第二回合？　福島食品開放「經貿、食安」成焦點,2021-12-26 09:13:00,https://news.tvbs.com.tw/life/1669283,"反萊豬公投結果「不同意票」多過「同意票」，民意展現台灣人在現行國際準則下，願意接受萊豬進口，下一步是否接著會開放日本福島食品，成為網友最關心的話題。民進黨立委邱志偉也說，想要加入CPTPP最大關鍵在日本，福島食品禁令問題處理刻不容緩，不能比中國大陸慢。面對核食爭議，民進黨想再打出經貿牌，透過網路大數據觀察分析，除了經貿議題之外，網友在意的核食爭議還有什麼？接力反萊豬公投未通過聲勢核食議題熱度18日起漲實際上，針對福島食品議題，2018年「禁止開放日本五縣食品」公投案，台灣人以779萬同意禁止票數，遠超過223萬不同意票，而且高於25%選舉人數的公投門檻，表達出不願意接受日本福島食品的意見。如今面對台灣尋求加入CPTPP關鍵之際，加上民進黨隨著四大公投大獲全勝，氣勢暢旺，反萊豬公投一結束，網友就開始關心日本福島食品議題，有沒有可能接著開放？網路聲量因此快速升溫。透過《KEYPO大數據關鍵引擎》調查（2021/09/25~2021/12/23），18日公投結果出爐後，就有人開始討論核食議題。20日民進黨立委邱志偉提出，日本福島食品是科學問題，檢驗安全無虞的品項可先開放，如今想要加入CPTPP，關鍵在於日本，解決福島食品禁令問題不能再拖，還說如果比中國大陸慢一步會顯得沒有誠意。對此，不少網友解讀福島食品解禁指日可待，雖然有網友覺得若用科學檢驗，能確保食品吃入人體之後安全無虞，認為開放福島食品應該沒問題；但同時也有網友表示，未來民進黨政府恐怕又要強渡關山，掀起熱烈討論，留言「萊豬都願意吃了」、「核能好怕怕，核食好棒棒」、「萊劑是維他命，核食是營養品」等等，創下聲量高峰，共計5,456筆。面對民眾對福島食品是否開放的疑慮，23日外交部長吳釗燮回應，目前沒有確切的時間表，台日雙方都還沒有正式討論，但政府會替全台灣人的食安把關，絕對不會讓受核輻射污染的食品進口，強調「進來的不能叫核食」。不過不斷正名是日本福島食品，就是不希望讓民眾誤會有安全疑慮，但網友也猜測是替未來解禁做準備。24日民進黨與日本自由民主黨的「2+2」會談，雙方談論到福島五縣市食品開放議題，達成用科學方式處理的共識，不過還未設下任何進程、時間表。福島食品網路熱門關鍵字「食安」仍是溝通重點透過熱門關鍵字分析，福島食品話題炒得沸沸揚揚，但民眾最關心的重點有什麼？從近三個月熱門關鍵字中可以看到（2021/09/25~2021/12/23），網友從猜測萊豬公投未過關，民進黨政府有意趁勝追擊，解決福島食品的爭議，使話題開始延燒，關鍵字中包括「萊豬、開放、進口、禁止」等都上榜。此外，這次反萊豬公投結果也顯示，民眾願意為了台灣經貿地位，接受萊豬開放進口，對於福島食品禁令，同樣在意開放後可以換得什麼實質益處，關鍵字包括「萊豬、開放、進口、禁止」。不過，回歸問題根本，台灣人最不願輕易妥協的一直是食安問題，與食安相關的關鍵字包括「標準、安全、健康、不吃」也都出現其中。福島食品牽涉核輻射汙染與否，檢驗標準比萊豬更複雜，加上長久以來，民眾對核輻射的恐懼甚深，想要消除民眾心中的疑慮，並願意接受福島食品進口，比起打出台灣經貿牌，食安恐怕仍是與民眾最重要的溝通重點。分析說明分析區間：本文分析時間範圍為2021年9月25日至2021年12月23日。資料來源：《KEYPO大數據關鍵引擎》擁有巨量資料，以人工智慧作語意分析之工具資料蒐集範圍：累積超過10億筆以上的網路數據庫，其內容涵蓋新聞媒體、社群平台、討論區、部落格、地圖評論等網站。研究方法：系統觀測上萬個網站頻道，包括各大新聞頻道、社群平台、討論區及部落格等，針對討論『福島食品與核食』相關文本進行分析，調查「網路聲量」(註1)、「熱門關鍵字」(註2)作為本分析依據。*註1 網路聲量：透過『KEYPO大數據關鍵引擎』，計算社群討論及新聞報導提及的文章則數，聲量越高代表討論越熱，能見度越高。*註2 熱門關鍵字：透過『KEYPO大數據關鍵引擎』，萃取網路上的文章與主題共同出現的關鍵熱詞；次數越多，字詞越大；可用來釐清核心議題與重點人事物。本文由《DailyView 網路溫度計》授權提供延伸閱讀:小資族、投資小白快看！十大熱門「增加收入方式」幫自己年終加薪滋滋作響的感官盛宴！此生必嚐十大頂級鐵板燒"
林昶佐罷免投票倒數2週　媒體人：符合「這條件」一定過,2021-12-25 09:06:00,https://news.tvbs.com.tw/life/1669279,台中市第2選區、台灣基進立委陳柏惟遭罷免成功，接下來要面臨相同危機的就是台北市第5選區（中正、萬華區）、無黨籍立委林昶佐。眼看「散昶」罷免將在明年1月9日舉行投票，媒體人黃暐瀚分析，以四大公投深具代表性的「反萊豬」同意票來評估，中正、萬華投票率若超過半數甚至是55%，林昶佐罷免案就會過關。黃暐瀚24日在TVBS節目《新聞大白話》中指出，今年7月2日，環南市場自治會長林勝東當眾痛罵林昶佐，但後來他與林昶佐的關係，似乎變得沒那麼緊張。倘若罷免投票前，林勝東又站出來跟大家稱讚林昶佐，並予以原諒，那當初挺林勝東的民眾也會受影響，亦可能降低罷免聲勢。更多新聞：見范雲力挺林昶佐徐巧芯傻了：當萬華人記憶差？黃暐瀚以「反萊豬」公投來看，萬華區同意票為3萬6009張，中正區同意票則為3萬2866張，加起來是6萬8千多票，而林昶佐罷免門檻是6萬1千多票。但考量第5選區中正、萬華，其中的中正區切為21里跟10里；有10里被分到第8選區（文山區全區及中正區南部公館、古亭2個原屬古亭區的次分區10里），而這10里選民政黨傾向偏藍，他們掌握1萬多票都不屬於這次罷免投票的選民。更多新聞：公投大敗盼造聲勢高峰傳朱立倫將親征高雄市長黃暐瀚分析，反萊豬這6萬8千多張同意票要扣掉上述1萬票，變5萬8千票。以四大公投北市近5成投票率，中正、萬華開出5萬8千票反萊豬，但也沒過6萬1千張票。雖然第5選區選民結構藍大於綠，「但是投票率如果不到50％，罷免案是不會過的！」他說，雖然以趨勢來看，同意罷免選民多於反對，但罷免成敗關鍵仍在投票率，要像陳柏惟罷免案投票率51.72%才會過關。更多新聞：藍營議員力邀支持表態「罷昶」柯文哲這樣回黃暐瀚指出，以政治上的「鐘擺效應」來看，因為四大公投結果，可能會讓台北市民非常錯愕，畢竟他們原本預估反萊豬公投會過關，結果卻是否定的。假如選民因為公投結果而心灰意冷、不出門投票，就會讓投票率更低；但相反地，如果民眾因為氣不過，而決定一定要去投票，投票率將超過半數，甚至是55％，那林昶佐罷免案一定會過關。
只因林昶佐！豬肉公主遭嗆「閃尿團員」　怒告網友慘了,2021-12-24 19:31:00,https://news.tvbs.com.tw/local/1669006,台北市東門市場小有名氣的攤販張采婕，被顧客稱為「豬肉公主」，因過去多次在臉書替立委林昶佐發聲，沒想到竟被人盯上，跑到她的粉絲專頁留言嗆聲，甚至還說「妳賣的一定是萊豬」！張采婕蒐集相關事證後，對該名網友提告，台北地檢署審理後認為，他造謠抹黑影響商譽，依加重誹謗、妨害信用等罪，將該名網友起訴。今年7月，該名劉姓網友跑到張采婕的臉書粉專留言，先是標記她，之後寫道「豬肉妹被起底，原來就是閃尿團隊的一員！閃尿那麼挺萊豬，妳賣的一定是萊豬」！當時張采婕看到後，馬上截圖蒐證，並到警局報案，向對方提告。更多新聞：拜託快一點！國道警年取締雪隧慢速車破千件最低時速僅33面對檢察官訊問，劉姓網友說，因為當時政府已經開放萊豬進口，販售萊豬並不違法，自己在張采婕的臉書粉專留言，也沒有在說她違法。對此檢察官認為，張采婕並不是政治人物，對公眾沒有影響力，因此不需要承受嚴厲的公眾檢視與質疑。另外針對萊豬部分，張采婕的攤位確實有取得台灣豬認證，沒有販售進口肉品，劉姓網友這說法，很可能會讓顧客誤信，間接影響商譽。而在他留言中提「閃尿團隊」，也已經屬於情緒性發言。更多新聞：開車帶球棒稱防身！警問男「有吸毒嗎」秒否認結果慘了雖然劉姓網友不停主張自己有言論自由，不過檢方認為，台北地檢署這部分發言，已經構成誹謗。今（24）日依加重誹謗、妨害信用等罪，將劉姓網友起訴。
稱挺林昶佐攤商賣萊豬　網友涉加重誹謗等罪遭訴,2021-12-24 16:41:00,https://news.tvbs.com.tw/local/1668785,台北市東門市場張姓豬肉女攤商今年7月間在臉書專頁上為無黨籍立委林昶佐發聲，遭1名劉姓網友嗆聲賣萊豬，張女提告。台北地檢署今天依加重誹謗、妨害信用等罪起訴劉男。檢警調查，劉姓網友於7月3日在張女臉書（Facebook）粉絲專頁「采婕Charlene（東門信義肉舖）」留言表示，「豬肉妹、被起底，原來就是閃尿團隊的一員！閃尿那麼挺萊豬，妳賣的一定是萊豬！」張女提告加重誹謗等罪。劉男在偵訊時辯稱，當時政府已開放萊豬，賣萊豬並不犯法，他並非在說張女違法；另外，劉男認為，他質疑張女販賣萊豬屬合理評論。檢察官偵辦後認為，張女並非政治人物，不需要承受公眾檢視與質疑，張女肉攤有台灣豬認證，並沒有販售進口肉品，劉男言論帶有負面意涵的「閃尿」字眼，屬於情緒發言，並非合理評論，且影響張女商譽，將劉男依法起訴。（中央社）
柯喊「一定開放核食」　吳釗燮：常不知他講啥,2021-12-23 23:25:00,https://news.tvbs.com.tw/politics/1668286,反萊豬公投結束後，不少人都好奇接下來是不是要處理日本核食的問題，因為台北市長柯文哲曾經說，蔡總統在第一任的時候就答應日本，要處理核食的問題，外交部長吳釗燮就嗆，不知道柯市長情資從哪來，他常常不知道他在講什麼。公投結束，那執政黨接下來要處理的，是不是福島核食的問題。立委(國)溫玉霞vs.外交部長吳釗燮：「柯文哲市長說的，他說蔡總統第一任期，她就答應日本要處理核食的問題，請問這是真的還假的，我不曉得柯文哲市長，他的這個情資從哪裡來的，你不知道他情資從哪裡來的，因為柯文哲市長常常講一些話，我都不知道他在講什麼。」欸不是在講核食嗎？怎麼反倒講起台北市長柯文哲來，難道是因為柯文哲之前說，CPTPP現在是日本在主導，所以日本一定會要求解決核災區食品，讓吳釗燮聽不下去，而且有些話似乎不吐不快。立委(國)溫玉霞vs.外交部長吳釗燮：「柯文哲在選市長，第一次選市長的時候，他也答應要跟民進黨合作，但他選上以後『專門在修理民進黨』。」台北市長柯文哲：「唉唷，我們只是監督而已。」不同於吳釗燮的指控歷歷，柯文哲相對「雲淡風輕」，不過立委們還想問這個問題。立委(國)溫玉霞vs.外交部長吳釗燮：「CPTPP什麼時候能夠達到目標，加入他、加入CPTPP，我們沒辦法去抓一個時間點，如果我現在跟你壓一個時間，明年、後年或10年內可以加入的話，我就是神棍，隨便呼嚨你的。」部長這意思是你也不知道什麼時候可以嗎？對比公投前說反萊豬會難進CPTPP的堅定，怎麼公投後又說加入CPTPP的時間點不能確定了。
藍控「蘇涉造謠」裁定不受理　原因竟是「警未傳訊」,2021-12-23 18:12:00,https://news.tvbs.com.tw/politics/1667968,去年行政院長蘇貞昌在立法院聲稱，屏東縣的信功肉品支持萊豬，卻遭到該廠商駁斥，國民黨立委就依社維法告發蘇揆，法院最新裁定不受理，原因是警方沒有按照程序詢問蘇貞昌，引發藍營怒轟，分明是技術干擾。國民黨立委林為洲：「技術干擾，然後包庇高官啦。」說的氣噗噗，因為蘇揆去年在國會說，屏東縣信功肉品支持萊豬後遭駁斥，林為洲馬上到中正一告發，蘇貞昌造謠和違反社維法，台北地院最新裁定不受理，原因竟然是因為警察沒有按程序訊問蘇貞昌。國民黨立委林為洲：「就是警方包庇啦，故意不約詢被告發人。」中正一分局回應承認，受理後只有跟衛福部要回函，連同蘇院長在立法院，受質詢全程影像、譯文等相關事證，沒有通知蘇揆到場說明，就直接移送台北地院簡易庭裁處，更稱尊重裁定會精進程序，但藍營就問，難道官大就不用被約談嗎。行政院長蘇貞昌：「我們也看到相關機關依法處理，希望不要再做，這種造謠抹黑，並不要浪費司法資源。」蘇揆此話差矣，原因就在無論是否被冤枉，警察都應該找蘇揆到案說明。前桃園地方法院法官陳永來：「理由足不足夠，不是從警方的角度來做判斷，你要從被移送人的角度來看。」翻開社維法告發程序，警察接獲告發後，一定要通知嫌疑人到場申辯，才能移送地院，社維法第41條中有明確記載，因此沒有叫蘇揆來明顯違反程序。內政部長徐國勇：「警政署跟我講，他們是產生了一些認知，在法律解釋上的一些差距，以後在處理的時候，必須跟我們司法單位更加精進，在解釋上統一。」但藍營認為警方天天辦案，怎麼可能忘記了。國民黨立委林為洲：「要不要再告發蘇貞昌，這一次我看你要不要約詢他。」藍委控訴警方瀆職，就問為何對象是大官，辦案方式就轉彎。
為反萊豬公投辭國民黨副秘　林為洲宣布競選總召抗綠營,2021-12-23 11:38:00,https://news.tvbs.com.tw/politics/1667536,國民黨立法院黨團總召將於12月28日改選，立委林為洲今（23）日宣布參選下一任黨團總召，認為國民黨在國會席次懸殊，面對種種困難與挑戰的時刻，必須有人勇於承擔、引領團結、提升戰力、扭轉局勢。林為洲坦言，他對於民進黨的行事風格有十足認知，「知己知彼始得突圍，國民黨立委席次是劣勢，對於民進黨在重大議題想強渡關山，需要在議事攻防上做到出其不意，才能讓民進黨難以招架。」更多新聞：要台獨還統一？韓國瑜：沒有第三選擇是台灣人的損失林為洲細數去年擔任黨團總召時，任期內不少議題都創造高聲量，包含鼓舞黨內多元聲音、促成黨團改組；力擋監委人事案、拒絕酬庸、揭發弊案；共推WHO聯合聲明與台美復交及協防台海公決案；力擋萊豬、推動公投連署成案；在野連線、合作取得委員會召委席次；串聯公民團體、發動體制外抗爭等策略，力抗民進黨的多數暴力，敢講肯衝的作風還曾一躍國際版面。更多新聞：復出選台北、桃園市長？韓國瑜：無稽之談林為洲指出，2022年的九合一大選是2024年的前哨戰，國民黨力拼重返執政，必須優化立院黨團即戰力，扮演縣市首長候選人最主要的助攻手，協助取得勝選。林為洲表示，未來擔任總召，將和各縣市首長建立密切的聯繫機制，了解地方需求，採取議題策略、爭取補助、實地考察等方式，讓縣市政府、縣市議會、立院黨團可以分進合擊，為地方爭取更多重大建設，提高黨籍縣市首長能見度，透過實際政績作為輔選利器。更多新聞：韓冰碰到王力宏、林秉樞怎麼辦？「國民岳父」韓國瑜解答林為洲也強調，會積極協調黨內橫向聯繫集中火力，避免被民進黨見縫插針，將延續每週召開立院黨團、智庫、黨中央的三方平台會議，針對時事議題立即研擬方針、輿情分析，用論述取信於民，反制民進黨的惡意抹黑。此外，林為洲也以與公民團體合作的經驗為例，認為國民黨須深化與公民團體的連結，「公民團體許多訴求與在野黨一致，應放下包袱作為後勤支援，給予公民團體必要協助，結合民意創造最大效應，同時爭取中間選民的認同。」更多新聞：分析／「空戰弱、陸戰強」藍營估顏寬恒選情穩定除林為洲之外，立委曾銘宗也打算投入黨團總召選舉，林為洲說，大家公平競爭各自爭取支持，假使敗選他也會全力協助新任總召。但他認為，在四大公投案挫敗後，民進黨不會給國民黨喘息和生存的空間，短時間內若無法站穩步伐，恐招致民進黨變本加厲四面八方的圍剿。
萊豬下一步開放日本核食？　吳釗燮：有交涉但沒時間表,2021-12-23 10:04:00,https://news.tvbs.com.tw/politics/1667457,1218四大公投案18日落幕，公投結果四案均不通過，外界關注開放萊豬後，下一步是否將面對日本福島核災區食品進口？對此，外交部長吳釗燮今（23）日受訪表示，政府嚴格把關，任何有遭受核輻射污染的食品通通不能進口，有關日本食品進口的問題，「我方跟日方一直都在接觸，但『沒有時間表』」。吳釗燮與駐日代表謝長廷今日受邀赴立法院外交及國防委員會，就「1218公投結果對我國與美國、日本關係之發展與展望」，進行報告及備詢，但謝長廷請假未到場。隨著4大公投落幕，核食進口議題再度浮上檯面，吳釗燮會前被問及相關議題表示，他表示要就「日本福島地區食品進口」問題坐一個澄清，政府嚴格把關食安，「任何有遭受到核輻射污染的食品通通都不能進來，所以進來的都不能夠叫做核食」。吳釗燮指出，有關日本食品進口問題，只要符合安全標準的部分，經過非常嚴格的檢驗，到目前為止，沒有任何一件食品超標。吳釗燮說，不管是行政院長蘇貞昌或者總統府都一再說明，政府會照顧國人的食安，這部分請大家放心，檢查食品安全問題的時候，也要依照國際標準、依照科學證據，這才是國人之福。至於開放日本「核食」，是否就可以加入CPTPP（跨太平洋夥伴全面進步協定）？吳釗燮回應，「核食」的概念很不好，因為進到台灣來的，一定是檢驗合格，而且沒有核輻射污染的食品。有關於日本食品進口的問題，「我們跟日本之間都一直在接觸，但還沒有正式在談，所以這件事情也沒有時間表」。
